Unnamed: 0,카페이름,유사한 스타일,유사도
17,어페어커피 성수,"['클래식', '캐주얼', '고프코어', '로맨틱', '시티보이', '시크', '걸리시', '레트로', '미니멀', '스포티', '워크웨어', '스트릿']","[0.2041241452319315, 0.1889822365046136, 0.1178511301977579, 0.11180339887498948, 0.10660035817780521, 0.10660035817780521, 0.10660035817780521, 0.10206207261596575, 0.10206207261596575, 0.0, 0.0, 0.0]"
18,예빈당,"['걸리시', '미니멀', '로맨틱', '시티보이', '레트로', '캐주얼', '스트릿', '클래식', '스포티', '워크웨어', '고프코어', '시크']","[0.3344968040028364, 0.24019223070763074, 0.17541160386140586, 0.16724840200141816, 0.16012815380508716, 0.14824986333222026, 0.08770580193070293, 0.08006407690254358, 0.0, 0.0, 0.0, 0.0]"
19,단과자 성수,"['레트로', '미니멀', '캐주얼', '워크웨어', '스트릿', '걸리시', '시티보이', '로맨틱', '스포티', '고프코어', '시크', '클래식']","[0.25819888974716115, 0.25819888974716115, 0.23904572186687872, 0.14907119849998596, 0.1414213562373095, 0.13483997249264842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,앙골로에스프레소,"['로맨틱', '시티보이', '걸리시', '레트로', '미니멀', '캐주얼', '스트릿', '시크', '클래식', '스포티', '워크웨어', '고프코어']","[0.2860387767736777, 0.27272727272727276, 0.18181818181818182, 0.17407765595569785, 0.17407765595569785, 0.16116459280507606, 0.09534625892455924, 0.09090909090909091, 0.08703882797784893, 0.0, 0.0, 0.0]"
21,베러초이스,"['걸리시', '미니멀', '스포티', '스트릿', '레트로', '캐주얼', '시티보이', '로맨틱', '워크웨어', '고프코어', '시크', '클래식']","[0.26967994498529685, 0.25819888974716115, 0.14907119849998596, 0.1414213562373095, 0.12909944487358058, 0.11952286093343936, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,나드에프앤비,"['걸리시', '레트로', '미니멀', '캐주얼', '스포티', '로맨틱', '스트릿', '시티보이', '클래식', '워크웨어', '고프코어', '시크']","[0.21320071635561041, 0.2041241452319315, 0.2041241452319315, 0.1889822365046136, 0.1178511301977579, 0.11180339887498948, 0.11180339887498948, 0.10660035817780521, 0.10206207261596575, 0.0, 0.0, 0.0]"
23,브로벨커피,"['미니멀', '스트릿', '시티보이', '레트로', '클래식', '캐주얼', '로맨틱', '시크', '걸리시', '스포티', '워크웨어', '고프코어']","[0.36514837167011077, 0.2, 0.19069251784911848, 0.1825741858350554, 0.1825741858350554, 0.16903085094570333, 0.1, 0.09534625892455924, 0.09534625892455924, 0.0, 0.0, 0.0]"
24,파티세리 후르츠,"['걸리시', '캐주얼', '레트로', '시티보이', '로맨틱', '스포티', '워크웨어', '스트릿', '고프코어', '시크', '클래식', '미니멀']","[0.45226701686664544, 0.1336306209562122, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25,라스베이글 성수점,"['스포티', '워크웨어', '로맨틱', '걸리시', '캐주얼', '레트로', '시티보이', '스트릿', '고프코어', '시크', '클래식', '미니멀']","[0.16666666666666666, 0.16666666666666666, 0.15811388300841897, 0.15075567228888181, 0.1336306209562122, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,누데이크 성수,"['레트로', '미니멀', '스트릿', '걸리시', '캐주얼', '로맨틱', '시티보이', '스포티', '워크웨어', '고프코어', '시크', '클래식']","[0.2886751345948129, 0.2886751345948129, 0.21081851067789195, 0.20100756305184242, 0.1781741612749496, 0.10540925533894598, 0.10050378152592121, 0.0, 0.0, 0.0, 0.0, 0.0]"
