Unnamed: 0,카페이름,유사한 스타일,유사도
67,어커 성수,"['클래식', '미니멀', '캐주얼', '로맨틱', '시티보이', '시크', '걸리시', '레트로', '스포티', '워크웨어', '스트릿', '고프코어']","[0.3061862178478973, 0.2041241452319315, 0.1889822365046136, 0.11180339887498948, 0.10660035817780521, 0.10660035817780521, 0.10660035817780521, 0.10206207261596575, 0.0, 0.0, 0.0, 0.0]"
68,이트앤드링크 성수,"['걸리시', '클래식', '미니멀', '로맨틱', '시티보이', '시크', '레트로', '캐주얼', '스포티', '워크웨어', '스트릿', '고프코어']","[0.40201512610368484, 0.19245008972987526, 0.19245008972987526, 0.10540925533894598, 0.10050378152592121, 0.10050378152592121, 0.09622504486493763, 0.0890870806374748, 0.0, 0.0, 0.0, 0.0]"
69,예셰숄,"['캐주얼', '미니멀', '로맨틱', '시크', '걸리시', '레트로', '스트릿', '시티보이', '클래식', '스포티', '워크웨어', '고프코어']","[0.33407655239053047, 0.2886751345948129, 0.15811388300841897, 0.15075567228888181, 0.15075567228888181, 0.14433756729740646, 0.07905694150420949, 0.07537783614444091, 0.07216878364870323, 0.0, 0.0, 0.0]"
70,아쿠아산타 성수카페,"['로맨틱', '걸리시', '시티보이', '클래식', '캐주얼', '레트로', '스포티', '워크웨어', '스트릿', '고프코어', '시크', '미니멀']","[0.35856858280031806, 0.3418817293789138, 0.2279211529192759, 0.1091089451179962, 0.10101525445522107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
71,업사이드커피,"['캐주얼', '클래식', '미니멀', '로맨틱', '시티보이', '시크', '걸리시', '레트로', '워크웨어', '스트릿', '스포티', '고프코어']","[0.2921743548953888, 0.2254174086668581, 0.13525044520011487, 0.09877295966495897, 0.09417632186960223, 0.09417632186960223, 0.09417632186960223, 0.09016696346674324, 0.052057920629535355, 0.049386479832479485, 0.0, 0.0]"
72,유스트레스 성수,"['로맨틱', '걸리시', '고프코어', '시티보이', '레트로', '미니멀', '캐주얼', '스포티', '워크웨어', '스트릿', '시크', '클래식']","[0.33541019662496846, 0.21320071635561041, 0.1178511301977579, 0.10660035817780521, 0.10206207261596575, 0.10206207261596575, 0.0944911182523068, 0.0, 0.0, 0.0, 0.0, 0.0]"
73,삼옥,"['로맨틱', '레트로', '캐주얼', '스트릿', '시티보이', '걸리시', '클래식', '미니멀', '워크웨어', '고프코어', '스포티', '시크']","[0.2631174057921088, 0.24019223070763074, 0.22237479499833038, 0.17541160386140586, 0.16724840200141816, 0.16724840200141816, 0.16012815380508716, 0.16012815380508716, 0.09245003270420485, 0.09245003270420485, 0.0, 0.0]"
74,EZER Coffee,"['시티보이', '캐주얼', '스포티', '걸리시', '클래식', '미니멀', '워크웨어', '시크', '레트로', '로맨틱', '스트릿', '고프코어']","[0.3892494720807615, 0.3450327796711771, 0.17213259316477406, 0.1556997888323046, 0.14907119849998599, 0.14907119849998599, 0.08606629658238703, 0.0778498944161523, 0.0, 0.0, 0.0, 0.0]"
75,에이투비 Cafe&Bar 성수,"['걸리시', '레트로', '미니멀', '캐주얼', '스트릿', '시티보이', '로맨틱', '스포티', '워크웨어', '고프코어', '시크', '클래식']","[0.26967994498529685, 0.25819888974716115, 0.25819888974716115, 0.23904572186687872, 0.1414213562373095, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
76,호두이즈월넛 HODOOISWALNUT,"['로맨틱', '걸리시', '레트로', '미니멀', '캐주얼', '시티보이', '스포티', '워크웨어', '스트릿', '고프코어', '시크', '클래식']","[0.23904572186687872, 0.2279211529192759, 0.2182178902359924, 0.1091089451179962, 0.10101525445522107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
77,성수동 리얼 로스팅 커피&디저트,"['시크', '걸리시', '워크웨어', '로맨틱', '시티보이', '미니멀', '캐주얼', '레트로', '스포티', '스트릿', '고프코어', '클래식']","[0.2279211529192759, 0.2279211529192759, 0.1259881576697424, 0.11952286093343936, 0.11396057645963795, 0.1091089451179962, 0.10101525445522107, 0.0, 0.0, 0.0, 0.0, 0.0]"
78,구테로이테 성수센트럴키친,"['미니멀', '캐주얼', '걸리시', '레트로', '로맨틱', '스트릿', '시티보이', '클래식', '스포티', '워크웨어', '고프코어', '시크']","[0.2886751345948129, 0.2672612419124244, 0.22613350843332272, 0.14433756729740646, 0.07905694150420949, 0.07905694150420949, 0.07537783614444091, 0.07216878364870323, 0.0, 0.0, 0.0, 0.0]"
79,로우커피스탠드 성수,"['워크웨어', '로맨틱', '캐주얼', '레트로', '시티보이', '스포티', '스트릿', '고프코어', '시크', '클래식', '걸리시', '미니멀']","[0.19245008972987526, 0.1825741858350554, 0.15430334996209194, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
80,커피식구성수센터 성수,"['미니멀', '캐주얼', '걸리시', '로맨틱', '시티보이', '시크', '레트로', '클래식', '스포티', '워크웨어', '스트릿', '고프코어']","[0.3086066999241839, 0.28571428571428575, 0.24174688920761409, 0.16903085094570333, 0.16116459280507606, 0.16116459280507606, 0.15430334996209194, 0.15430334996209194, 0.0890870806374748, 0.0890870806374748, 0.08451542547285167, 0.0]"
81,야페,"['스트릿', '걸리시', '레트로', '미니멀', '캐주얼', '스포티', '로맨틱', '시티보이', '클래식', '워크웨어', '고프코어', '시크']","[0.21081851067789195, 0.20100756305184242, 0.19245008972987526, 0.19245008972987526, 0.1781741612749496, 0.1111111111111111, 0.10540925533894598, 0.10050378152592121, 0.09622504486493763, 0.0, 0.0, 0.0]"
