Cafe,Summary Style,Summary Similarity,Keyword Style,Keyword Similarity
글리터,미니멀,0.9333297610282898,시티보이,0.9929153919219971
글리터,캐주얼,0.9231312274932861,고프코어,0.9916030168533325
글리터,걸리시,0.9220477938652039,로맨틱,0.9903833866119385
글리터,고프코어,0.9184556603431702,레트로,0.988727867603302
글리터,시티보이,0.9093900322914124,미니멀,0.9872077107429504
글리터,레트로,0.9054678082466125,걸리시,0.9832471609115601
글리터,로맨틱,0.9050160646438599,스포티,0.9826940894126892
글리터,클래식,0.889894962310791,스트릿,0.9818137288093567
글리터,시크,0.8796154260635376,클래식,0.9792132377624512
글리터,스트릿,0.8759235143661499,캐주얼,0.9777560234069824
글리터,스포티,0.8758841753005981,시크,0.97542405128479
글리터,워크웨어,0.8734409213066101,워크웨어,0.9659456014633179
피어커피,미니멀,0.9365866780281067,시티보이,0.9927454590797424
피어커피,캐주얼,0.9275520443916321,로맨틱,0.9922096729278564
피어커피,걸리시,0.9242101311683655,고프코어,0.9904477596282959
피어커피,고프코어,0.9218894243240356,레트로,0.9902126789093018
피어커피,시티보이,0.912841260433197,미니멀,0.986906886100769
피어커피,레트로,0.909386932849884,걸리시,0.9830169677734375
피어커피,로맨틱,0.907425045967102,스포티,0.9793152809143066
피어커피,클래식,0.8944615721702576,스트릿,0.9784808158874512
피어커피,시크,0.8831541538238525,클래식,0.976893961429596
피어커피,스포티,0.8816999793052673,시크,0.9750763177871704
피어커피,스트릿,0.8807802200317383,캐주얼,0.9740993976593018
피어커피,워크웨어,0.875352680683136,워크웨어,0.9613893032073975
카페조이,미니멀,0.9286023378372192,고프코어,0.9849482178688049
카페조이,캐주얼,0.9225449562072754,시티보이,0.984829306602478
카페조이,걸리시,0.9169121980667114,레트로,0.9839608073234558
카페조이,고프코어,0.9110813140869141,로맨틱,0.9836862087249756
카페조이,시티보이,0.9002043008804321,미니멀,0.9810917973518372
카페조이,레트로,0.8973026275634766,스포티,0.9798698425292969
카페조이,로맨틱,0.8963244557380676,캐주얼,0.9776542782783508
카페조이,클래식,0.8834967613220215,걸리시,0.9765200614929199
카페조이,시크,0.872714102268219,클래식,0.975854754447937
카페조이,스포티,0.867499828338623,스트릿,0.9732859134674072
카페조이,스트릿,0.8659948706626892,시크,0.971792459487915
카페조이,워크웨어,0.8645660281181335,워크웨어,0.9513130784034729
굴림,미니멀,0.9295745491981506,걸리시,0.986793577671051
굴림,걸리시,0.9211964011192322,미니멀,0.9790089130401611
굴림,캐주얼,0.9211424589157104,로맨틱,0.975736141204834
굴림,고프코어,0.9163734316825867,고프코어,0.9750024080276489
굴림,시티보이,0.9065324068069458,캐주얼,0.9736204743385315
굴림,레트로,0.9044094085693359,시티보이,0.9722813963890076
굴림,로맨틱,0.9032841324806213,스포티,0.9665687680244446
굴림,클래식,0.8875485062599182,레트로,0.9660587310791016
굴림,시크,0.8771587014198303,워크웨어,0.9654434323310852
굴림,스포티,0.8753039240837097,스트릿,0.962192952632904
굴림,스트릿,0.8713654279708862,시크,0.9605810642242432
굴림,워크웨어,0.86617511510849,클래식,0.9592640399932861
유니드카페,미니멀,0.9400246143341064,로맨틱,0.9808982610702515
유니드카페,캐주얼,0.9343096613883972,걸리시,0.9781920313835144
유니드카페,걸리시,0.9327918887138367,레트로,0.9781278967857361
유니드카페,고프코어,0.9250665307044983,고프코어,0.975677490234375
유니드카페,레트로,0.9168010950088501,시티보이,0.9749999642372131
유니드카페,시티보이,0.9157828092575073,미니멀,0.9744366407394409
유니드카페,로맨틱,0.9146143198013306,스포티,0.9740266799926758
유니드카페,클래식,0.9008480906486511,캐주얼,0.9692261219024658
유니드카페,시크,0.8940194845199585,클래식,0.9667030572891235
유니드카페,스포티,0.8875924348831177,시크,0.9664483070373535
유니드카페,스트릿,0.8841534852981567,스트릿,0.9661384224891663
유니드카페,워크웨어,0.8779403567314148,워크웨어,0.948533833026886
ONE BEAN카페,미니멀,0.9381547570228577,레트로,0.988771915435791
ONE BEAN카페,캐주얼,0.9318637847900391,클래식,0.9882415533065796
ONE BEAN카페,걸리시,0.9280551671981812,캐주얼,0.9878763556480408
ONE BEAN카페,고프코어,0.9236485362052917,미니멀,0.9861815571784973
ONE BEAN카페,시티보이,0.9132792949676514,시크,0.9859645366668701
ONE BEAN카페,레트로,0.9129462242126465,로맨틱,0.983452558517456
ONE BEAN카페,로맨틱,0.9100658893585205,시티보이,0.982518196105957
ONE BEAN카페,클래식,0.8973426222801208,고프코어,0.9820910692214966
ONE BEAN카페,시크,0.887417733669281,스트릿,0.9820475578308105
ONE BEAN카페,스포티,0.8810746073722839,걸리시,0.979439914226532
ONE BEAN카페,스트릿,0.8779559135437012,스포티,0.9732667207717896
ONE BEAN카페,워크웨어,0.869409441947937,워크웨어,0.9673569798469543
나드에프앤비,미니멀,0.9473451375961304,로맨틱,0.9934996962547302
나드에프앤비,걸리시,0.9375268816947937,시티보이,0.9932796359062195
나드에프앤비,고프코어,0.9357113242149353,고프코어,0.9911313652992249
나드에프앤비,캐주얼,0.9353448748588562,레트로,0.9885468482971191
나드에프앤비,시티보이,0.9288321733474731,걸리시,0.9873863458633423
나드에프앤비,로맨틱,0.9247017502784729,미니멀,0.9871110320091248
나드에프앤비,레트로,0.9237731695175171,스포티,0.9814454913139343
나드에프앤비,클래식,0.9070460796356201,스트릿,0.9792786836624146
나드에프앤비,스포티,0.8978463411331177,시크,0.9752259254455566
나드에프앤비,시크,0.897742509841919,클래식,0.9749177098274231
나드에프앤비,스트릿,0.8956162333488464,캐주얼,0.9736064672470093
나드에프앤비,워크웨어,0.8901587724685669,워크웨어,0.9659467339515686
라에비뉴,미니멀,0.9394807815551758,로맨틱,0.988693118095398
라에비뉴,걸리시,0.9314256906509399,고프코어,0.987666666507721
라에비뉴,캐주얼,0.9296119213104248,시티보이,0.9874581694602966
라에비뉴,고프코어,0.9268896579742432,걸리시,0.9850143194198608
라에비뉴,시티보이,0.9199589490890503,미니멀,0.9835660457611084
라에비뉴,레트로,0.9157123565673828,레트로,0.9824938774108887
라에비뉴,로맨틱,0.9153051376342773,스포티,0.9796726107597351
라에비뉴,클래식,0.8989919424057007,캐주얼,0.9720709323883057
라에비뉴,시크,0.8896999955177307,스트릿,0.9690490365028381
라에비뉴,스포티,0.8849385976791382,클래식,0.9663988351821899
라에비뉴,스트릿,0.8836278319358826,시크,0.9636228680610657
라에비뉴,워크웨어,0.8766106367111206,워크웨어,0.9573774337768555
훔볼트,미니멀,0.9299522042274475,로맨틱,0.9901866912841797
훔볼트,걸리시,0.9228158593177795,시티보이,0.9891219735145569
