상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220808178781,엣모스피어,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,277,114,서울특별시 성동구 성수동2가 277-114,1.12E+11,서울특별시 성동구 아차산로17길,11,,1.12E+24,,서울특별시 성동구 아차산로17길 11,133832,4798,,1,,127.0637434,37.54345685
MA010120220808592418,어니언 성수,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,277,135,서울특별시 성동구 성수동2가 277-135,1.12E+11,서울특별시 성동구 아차산로9길,8,,1.12E+24,,서울특별시 성동구 아차산로9길 8,133832,4797,,2,,127.0581034,37.54471852
MA010120220808594732,레이더 성수,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,316,37,서울특별시 성동구 성수동2가 316-37,1.12E+11,서울특별시 성동구 연무장길,39,29,1.12E+24,,서울특별시 성동구 연무장길 39-29,133835,4782,,1,,127.0540095,37.54361354
MA010120220808562367,쎈느Scene,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,314,2,서울특별시 성동구 성수동2가 314-2,1.12E+11,서울특별시 성동구 연무장5길,20,,1.12E+24,,서울특별시 성동구 연무장5길 20,133835,4782,,,,127.0534276,37.54488837
MA010120220808556406,카페크라비,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,280,22,서울특별시 성동구 성수동2가 280-22,1.12E+11,서울특별시 성동구 아차산로13길,48,,1.12E+24,신원개발,서울특별시 성동구 아차산로13길 48,133832,4799,,1,,127.0627529,37.54664772
MA010120220808771072,아이오쓰리 에이스하이엔드점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,275,54,서울특별시 성동구 성수동2가 275-54,1.12E+11,서울특별시 성동구 성수이로20길,60,,1.12E+24,,서울특별시 성동구 성수이로20길 60,133831,4787,,1,,127.0631322,37.54165891
MA010120220808699566,라니커피,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,316,29,서울특별시 성동구 성수동2가 316-29,1.12E+11,서울특별시 성동구 연무장5가길,14,,1.12E+24,,서울특별시 성동구 연무장5가길 14,133835,4782,,1,,127.0541349,37.54354246
MA010120220808687028,카멜커피 성수점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,570,1,서울특별시 성동구 성수동2가 570-1,1.12E+11,서울특별시 성동구 성덕정19길,6,,1.12E+24,나사로교회,서울특별시 성동구 성덕정19길 6,133829,4776,,1,,127.0559006,37.53723122
MA010120220809135972,스프레이하우스,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1.12E+18,1,대지,301,27,서울특별시 성동구 성수동2가 301-27,1.12E+11,서울특별시 성동구 연무장1길,8,5,1.12E+24,삼화연립,서울특별시 성동구 연무장1길 8-5,133835,4782,,1,,127.0504893,37.54457644
MA010120220810021566,단과자,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,269,133,서울특별시 성동구 성수동2가 269-133,1.12E+11,서울특별시 성동구 뚝섬로,430,,1.12E+24,,서울특별시 성동구 뚝섬로 430,133826,4777,,2,,127.0581217,37.53787068
MA010120220810162578,럭럭카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,566,35,서울특별시 성동구 성수동2가 566-35,1.12E+11,서울특별시 성동구 성덕정17길,4,,1.12E+24,,서울특별시 성동구 성덕정17길 4,133829,4776,,1,,127.0553534,37.53755122
MA010120220810115852,야페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11200,성동구,11200670,성수2가1동,1120011500,성수동2가,1.12E+18,1,대지,269,63,서울특별시 성동구 성수동2가 269-63,1.12E+11,서울특별시 성동구 뚝섬로17가길,48,,1.12E+24,성수에이원지식산업센터,서울특별시 성동구 뚝섬로17가길 48,133826,4785,,1,,127.0595223,37.5407652
